image,f1_mic,f2_mic,f3_mic,f4_mic,f5_mic,f6_mic,f7_mic,f8_mic,f9_mic,f10_mic,f11_mic,f12_mic,f13_mic,f14_mic,f15_mic,f16_mic,f17_mic,f18_mic,f19_mic,f20_mic,f21_mic,f22_mic,f23_mic,f24_mic,f25_mic,f26_mic,f27_mic,f28_mic,f29_mic,f30_mic,f31_mic,f32_mic,f33_mic,f34_mic,f35_mic,f36_mic,f37_mic,f38_mic,f39_mic,f40_mic,f41_mic,f42_mic,f43_mic,f44_mic,f45_mic,f46_mic,f47_mic,f48_mic,f49_mic,f50_mic,f51_mic,f52_mic,f53_mic,f54_mic,f55_mic,f56_mic,f57_mic,f58_mic,f59_mic,f60_mic,f61_mic,f62_mic,f63_mic,f64_mic,f1_mac,f2_mac,f3_mac,f4_mac,f5_mac,f6_mac,f7_mac,f8_mac,f9_mac,f10_mac,f11_mac,f12_mac,f13_mac,f14_mac,f15_mac,f16_mac,f17_mac,f18_mac,f19_mac,f20_mac,f21_mac,f22_mac,f23_mac,f24_mac,f25_mac,f26_mac,f27_mac,f28_mac,f29_mac,f30_mac,f31_mac,f32_mac,f33_mac,f34_mac,f35_mac,f36_mac,f37_mac,f38_mac,f39_mac,f40_mac,f41_mac,f42_mac,f43_mac,f44_mac,f45_mac,f46_mac,f47_mac,f48_mac,f49_mac,f50_mac,f51_mac,f52_mac,f53_mac,f54_mac,f55_mac,f56_mac,f57_mac,f58_mac,f59_mac,f60_mac,f61_mac,f62_mac,f63_mac,f64_mac,label
image1.png,1.3643230295178752,1.3165557605277558,1.2958355068529943,1.2933718223270245,1.436801439736808,1.3693470081759012,1.3384002719377046,9936.130007223746,1.4211321532874097,1.8940825653781543,3.321931665584255,1.4663287171231825,1.2598013085404556,1.3080474471522723,1.352463180576405,2.042093137139736,46.927510223000674,1.3011158943940355,1.2842215293135328,1.2989860107651525,1.4910389012947018,1.4111373032630823,1723621.0098016427,1.674782987055457,1.5167066840500587,857011436.3608117,2.0704894372319247,1.2626801657926714,1.671207669010623,1.2989782740946092,1.3661897721897602,1.7190855226357682,1.2943166965859605,2.441057185322684,1.257686676123881,2.3862251308282842,4.110765475775689,1573283828562.065,16631.764964846767,3.1881222862331864,52369267.19683789,4.716386380581447,3.7027839762324235,1.3375820540556544,14.895001546489771,1.5426738410916703,1.3629303318849744,3.2269804245894504,1.294156231683533,2.4491947752494854,1.758851495346096,1.2865176101026514,1.3028197806124326,1.3835461560303242,2.226629404958488,1.275849939554397,1.2880775494897845,1.226788267467142,13.2370940198683,1.8879920810451163,1.6265109331981256,1.3784682537784423,1.2195824324188096,1.7236608116346943,31.0,67.0,66.0,61.0,89.0,42.0,94.0,88.0,30.0,64.0,42.0,51.0,79.0,62.0,46.0,53.0,88.0,48.0,48.0,87.0,69.0,26.0,37.0,22.0,50.0,31.0,48.0,76.0,74.0,57.0,47.0,92.0,56.0,58.0,60.0,37.0,44.0,20.0,58.0,54.0,34.0,46.0,39.0,38.0,74.0,65.0,47.0,42.0,43.0,48.0,39.0,103.0,38.0,62.0,64.0,29.0,45.0,47.0,65.0,60.0,43.0,54.0,73.0,78.0,114.0
image2.png,1.3643230295178752,1.3165557605277558,1.2958355068529943,1.2933718223270245,1.436801439736808,1.3693470081759012,1.3384002719377046,9936.130007223746,1.4211321532874097,1.8940825653781543,3.321931665584255,1.4663287171231825,1.2598013085404556,1.3080474471522723,1.352463180576405,2.042093137139736,46.927510223000674,1.3011158943940355,1.2842215293135328,1.2989860107651525,1.4910389012947018,1.4111373032630823,1723621.0098016427,1.674782987055457,1.5167066840500587,857011436.3608117,2.0704894372319247,1.2626801657926714,1.671207669010623,1.2989782740946092,1.3661897721897602,1.7190855226357682,1.2943166965859605,2.441057185322684,1.257686676123881,2.3862251308282842,4.110765475775689,1573283828562.065,16631.764964846767,3.1881222862331864,52369267.19683789,4.716386380581447,3.7027839762324235,1.3375820540556544,14.895001546489771,1.5426738410916703,1.3629303318849744,3.2269804245894504,1.294156231683533,2.4491947752494854,1.758851495346096,1.2865176101026514,1.3028197806124326,1.3835461560303242,2.226629404958488,1.275849939554397,1.2880775494897845,1.226788267467142,13.2370940198683,1.8879920810451163,1.6265109331981256,1.3784682537784423,1.2195824324188096,1.7236608116346943,31.0,67.0,66.0,61.0,89.0,42.0,94.0,88.0,30.0,64.0,42.0,51.0,79.0,62.0,46.0,53.0,88.0,48.0,48.0,87.0,69.0,26.0,37.0,22.0,50.0,31.0,48.0,76.0,74.0,57.0,47.0,92.0,56.0,58.0,60.0,37.0,44.0,20.0,58.0,54.0,34.0,46.0,39.0,38.0,74.0,65.0,47.0,42.0,43.0,48.0,39.0,103.0,38.0,62.0,64.0,29.0,45.0,47.0,65.0,60.0,43.0,54.0,73.0,78.0,115.0
image3.png,1.3643230295178752,1.3165557605277558,1.2958355068529943,1.2933718223270245,1.436801439736808,1.3693470081759012,1.3384002719377046,9936.130007223746,1.4211321532874097,1.8940825653781543,3.321931665584255,1.4663287171231825,1.2598013085404556,1.3080474471522723,1.352463180576405,2.042093137139736,46.927510223000674,1.3011158943940355,1.2842215293135328,1.2989860107651525,1.4910389012947018,1.4111373032630823,1723621.0098016427,1.674782987055457,1.5167066840500587,857011436.3608117,2.0704894372319247,1.2626801657926714,1.671207669010623,1.2989782740946092,1.3661897721897602,1.7190855226357682,1.2943166965859605,2.441057185322684,1.257686676123881,2.3862251308282842,4.110765475775689,1573283828562.065,16631.764964846767,3.1881222862331864,52369267.19683789,4.716386380581447,3.7027839762324235,1.3375820540556544,14.895001546489771,1.5426738410916703,1.3629303318849744,3.2269804245894504,1.294156231683533,2.4491947752494854,1.758851495346096,1.2865176101026514,1.3028197806124326,1.3835461560303242,2.226629404958488,1.275849939554397,1.2880775494897845,1.226788267467142,13.2370940198683,1.8879920810451163,1.6265109331981256,1.3784682537784423,1.2195824324188096,1.7236608116346943,31.0,67.0,66.0,61.0,89.0,42.0,94.0,88.0,30.0,64.0,42.0,51.0,79.0,62.0,46.0,53.0,88.0,48.0,48.0,87.0,69.0,26.0,37.0,22.0,50.0,31.0,48.0,76.0,74.0,57.0,47.0,92.0,56.0,58.0,60.0,37.0,44.0,20.0,58.0,54.0,34.0,46.0,39.0,38.0,74.0,65.0,47.0,42.0,43.0,48.0,39.0,103.0,38.0,62.0,64.0,29.0,45.0,47.0,65.0,60.0,43.0,54.0,73.0,78.0,116.0
image4.png,1.3946130884039334,1.2954710670510308,1.2627875385822567,1.3030036588959695,1.2624618146420425,1.294492537702506,1.2284777853743938,1.2228543971403443,1.4140466906770155,1.2729669583557424,1.3647043970152992,1.3078054156010903,1.2541960055009154,1.289725095708389,1.298854687168915,1.28272908623254,1.2693579486004984,1.3148547556624375,1.2668994453021065,1.2481638725536062,1.2318523295477433,1.4031244291532972,1.3902715791084148,1.5357391220276428,1.3764557253018574,1.2927377361234502,1.3006135451512435,1.2546436672229861,1.265149321584819,1.2421772020665334,1.4683887133151907,1.226826458894629,48.813740660751996,1.237739625627877,1.2489965013513353,1.319663676731406,1.2813511375895563,1.3488676944691462,1.2708131112753762,1.2378668419136245,1.307101485959389,1.242668484530362,1.291977438775603,1.3112289069360554,1.2169686800342325,1.2303269333404687,1.2505587644566185,998.6846215058752,1.2772076272216417,1.287009530564434,1.277700067497907,1.1939707303652947,1.2702069443023192,1.2357248422585214,1.2143104465250332,1.261334191772519,1.251525195086435,1.2447708614448292,1.208971815621317,1.2034566516407486,1.252935276683583,1.2472426152343363,1.2048070591118778,1.3207849653396337,42.0,50.0,38.0,83.0,114.0,46.0,103.0,165.0,24.0,67.0,40.0,34.0,61.0,42.0,49.0,42.0,77.0,70.0,70.0,91.0,70.0,36.0,42.0,29.0,36.0,38.0,42.0,68.0,82.0,76.0,47.0,90.0,62.0,68.0,64.0,33.0,50.0,20.0,56.0,68.0,28.0,56.0,50.0,32.0,86.0,82.0,66.0,29.0,39.0,52.0,21.0,51.0,37.0,45.0,62.0,38.0,31.0,31.0,67.0,37.0,37.0,43.0,53.0,70.0,123.0
image5.png,1.3946130884039334,1.2954710670510308,1.2627875385822567,1.3030036588959695,1.2624618146420425,1.294492537702506,1.2284777853743938,1.2228543971403443,1.4140466906770155,1.2729669583557424,1.3647043970152992,1.3078054156010903,1.2541960055009154,1.289725095708389,1.298854687168915,1.28272908623254,1.2693579486004984,1.3148547556624375,1.2668994453021065,1.2481638725536062,1.2318523295477433,1.4031244291532972,1.3902715791084148,1.5357391220276428,1.3764557253018574,1.2927377361234502,1.3006135451512435,1.2546436672229861,1.265149321584819,1.2421772020665334,1.4683887133151907,1.226826458894629,48.813740660751996,1.237739625627877,1.2489965013513353,1.319663676731406,1.2813511375895563,1.3488676944691462,1.2708131112753762,1.2378668419136245,1.307101485959389,1.242668484530362,1.291977438775603,1.3112289069360554,1.2169686800342325,1.2303269333404687,1.2505587644566185,998.6846215058752,1.2772076272216417,1.287009530564434,1.277700067497907,1.1939707303652947,1.2702069443023192,1.2357248422585214,1.2143104465250332,1.261334191772519,1.251525195086435,1.2447708614448292,1.208971815621317,1.2034566516407486,1.252935276683583,1.2472426152343363,1.2048070591118778,1.3207849653396337,42.0,50.0,38.0,83.0,114.0,46.0,103.0,165.0,24.0,67.0,40.0,34.0,61.0,42.0,49.0,42.0,77.0,70.0,70.0,91.0,70.0,36.0,42.0,29.0,36.0,38.0,42.0,68.0,82.0,76.0,47.0,90.0,62.0,68.0,64.0,33.0,50.0,20.0,56.0,68.0,28.0,56.0,50.0,32.0,86.0,82.0,66.0,29.0,39.0,52.0,21.0,51.0,37.0,45.0,62.0,38.0,31.0,31.0,67.0,37.0,37.0,43.0,53.0,70.0,118.0
image6.png,1.3946130884039334,1.2954710670510308,1.2627875385822567,1.3030036588959695,1.2624618146420425,1.294492537702506,1.2284777853743938,1.2228543971403443,1.4140466906770155,1.2729669583557424,1.3647043970152992,1.3078054156010903,1.2541960055009154,1.289725095708389,1.298854687168915,1.28272908623254,1.2693579486004984,1.3148547556624375,1.2668994453021065,1.2481638725536062,1.2318523295477433,1.4031244291532972,1.3902715791084148,1.5357391220276428,1.3764557253018574,1.2927377361234502,1.3006135451512435,1.2546436672229861,1.265149321584819,1.2421772020665334,1.4683887133151907,1.226826458894629,48.813740660751996,1.237739625627877,1.2489965013513353,1.319663676731406,1.2813511375895563,1.3488676944691462,1.2708131112753762,1.2378668419136245,1.307101485959389,1.242668484530362,1.291977438775603,1.3112289069360554,1.2169686800342325,1.2303269333404687,1.2505587644566185,998.6846215058752,1.2772076272216417,1.287009530564434,1.277700067497907,1.1939707303652947,1.2702069443023192,1.2357248422585214,1.2143104465250332,1.261334191772519,1.251525195086435,1.2447708614448292,1.208971815621317,1.2034566516407486,1.252935276683583,1.2472426152343363,1.2048070591118778,1.3207849653396337,42.0,50.0,38.0,83.0,114.0,46.0,103.0,165.0,24.0,67.0,40.0,34.0,61.0,42.0,49.0,42.0,77.0,70.0,70.0,91.0,70.0,36.0,42.0,29.0,36.0,38.0,42.0,68.0,82.0,76.0,47.0,90.0,62.0,68.0,64.0,33.0,50.0,20.0,56.0,68.0,28.0,56.0,50.0,32.0,86.0,82.0,66.0,29.0,39.0,52.0,21.0,51.0,37.0,45.0,62.0,38.0,31.0,31.0,67.0,37.0,37.0,43.0,53.0,70.0,120.0
image7.png,1.3946130884039334,1.2954710670510308,1.2627875385822567,1.3030036588959695,1.2624618146420425,1.294492537702506,1.2284777853743938,1.2228543971403443,1.4140466906770155,1.2729669583557424,1.3647043970152992,1.3078054156010903,1.2541960055009154,1.289725095708389,1.298854687168915,1.28272908623254,1.2693579486004984,1.3148547556624375,1.2668994453021065,1.2481638725536062,1.2318523295477433,1.4031244291532972,1.3902715791084148,1.5357391220276428,1.3764557253018574,1.2927377361234502,1.3006135451512435,1.2546436672229861,1.265149321584819,1.2421772020665334,1.4683887133151907,1.226826458894629,48.813740660751996,1.237739625627877,1.2489965013513353,1.319663676731406,1.2813511375895563,1.3488676944691462,1.2708131112753762,1.2378668419136245,1.307101485959389,1.242668484530362,1.291977438775603,1.3112289069360554,1.2169686800342325,1.2303269333404687,1.2505587644566185,998.6846215058752,1.2772076272216417,1.287009530564434,1.277700067497907,1.1939707303652947,1.2702069443023192,1.2357248422585214,1.2143104465250332,1.261334191772519,1.251525195086435,1.2447708614448292,1.208971815621317,1.2034566516407486,1.252935276683583,1.2472426152343363,1.2048070591118778,1.3207849653396337,42.0,50.0,38.0,83.0,114.0,46.0,103.0,165.0,24.0,67.0,40.0,34.0,61.0,42.0,49.0,42.0,77.0,70.0,70.0,91.0,70.0,36.0,42.0,29.0,36.0,38.0,42.0,68.0,82.0,76.0,47.0,90.0,62.0,68.0,64.0,33.0,50.0,20.0,56.0,68.0,28.0,56.0,50.0,32.0,86.0,82.0,66.0,29.0,39.0,52.0,21.0,51.0,37.0,45.0,62.0,38.0,31.0,31.0,67.0,37.0,37.0,43.0,53.0,70.0,122.0
image8.png,1.3946130884039334,1.2954710670510308,1.2627875385822567,1.3030036588959695,1.2624618146420425,1.294492537702506,1.2284777853743938,1.2228543971403443,1.4140466906770155,1.2729669583557424,1.3647043970152992,1.3078054156010903,1.2541960055009154,1.289725095708389,1.298854687168915,1.28272908623254,1.2693579486004984,1.3148547556624375,1.2668994453021065,1.2481638725536062,1.2318523295477433,1.4031244291532972,1.3902715791084148,1.5357391220276428,1.3764557253018574,1.2927377361234502,1.3006135451512435,1.2546436672229861,1.265149321584819,1.2421772020665334,1.4683887133151907,1.226826458894629,48.813740660751996,1.237739625627877,1.2489965013513353,1.319663676731406,1.2813511375895563,1.3488676944691462,1.2708131112753762,1.2378668419136245,1.307101485959389,1.242668484530362,1.291977438775603,1.3112289069360554,1.2169686800342325,1.2303269333404687,1.2505587644566185,998.6846215058752,1.2772076272216417,1.287009530564434,1.277700067497907,1.1939707303652947,1.2702069443023192,1.2357248422585214,1.2143104465250332,1.261334191772519,1.251525195086435,1.2447708614448292,1.208971815621317,1.2034566516407486,1.252935276683583,1.2472426152343363,1.2048070591118778,1.3207849653396337,42.0,50.0,38.0,83.0,114.0,46.0,103.0,165.0,24.0,67.0,40.0,34.0,61.0,42.0,49.0,42.0,77.0,70.0,70.0,91.0,70.0,36.0,42.0,29.0,36.0,38.0,42.0,68.0,82.0,76.0,47.0,90.0,62.0,68.0,64.0,33.0,50.0,20.0,56.0,68.0,28.0,56.0,50.0,32.0,86.0,82.0,66.0,29.0,39.0,52.0,21.0,51.0,37.0,45.0,62.0,38.0,31.0,31.0,67.0,37.0,37.0,43.0,53.0,70.0,119.0
image9.png,1.3946130884039334,1.2954710670510308,1.2627875385822567,1.3030036588959695,1.2624618146420425,1.294492537702506,1.2284777853743938,1.2228543971403443,1.4140466906770155,1.2729669583557424,1.3647043970152992,1.3078054156010903,1.2541960055009154,1.289725095708389,1.298854687168915,1.28272908623254,1.2693579486004984,1.3148547556624375,1.2668994453021065,1.2481638725536062,1.2318523295477433,1.4031244291532972,1.3902715791084148,1.5357391220276428,1.3764557253018574,1.2927377361234502,1.3006135451512435,1.2546436672229861,1.265149321584819,1.2421772020665334,1.4683887133151907,1.226826458894629,48.813740660751996,1.237739625627877,1.2489965013513353,1.319663676731406,1.2813511375895563,1.3488676944691462,1.2708131112753762,1.2378668419136245,1.307101485959389,1.242668484530362,1.291977438775603,1.3112289069360554,1.2169686800342325,1.2303269333404687,1.2505587644566185,998.6846215058752,1.2772076272216417,1.287009530564434,1.277700067497907,1.1939707303652947,1.2702069443023192,1.2357248422585214,1.2143104465250332,1.261334191772519,1.251525195086435,1.2447708614448292,1.208971815621317,1.2034566516407486,1.252935276683583,1.2472426152343363,1.2048070591118778,1.3207849653396337,42.0,50.0,38.0,83.0,114.0,46.0,103.0,165.0,24.0,67.0,40.0,34.0,61.0,42.0,49.0,42.0,77.0,70.0,70.0,91.0,70.0,36.0,42.0,29.0,36.0,38.0,42.0,68.0,82.0,76.0,47.0,90.0,62.0,68.0,64.0,33.0,50.0,20.0,56.0,68.0,28.0,56.0,50.0,32.0,86.0,82.0,66.0,29.0,39.0,52.0,21.0,51.0,37.0,45.0,62.0,38.0,31.0,31.0,67.0,37.0,37.0,43.0,53.0,70.0,121.0
image10.png,1.3946130884039334,1.2954710670510308,1.2627875385822567,1.3030036588959695,1.2624618146420425,1.294492537702506,1.2284777853743938,1.2228543971403443,1.4140466906770155,1.2729669583557424,1.3647043970152992,1.3078054156010903,1.2541960055009154,1.289725095708389,1.298854687168915,1.28272908623254,1.2693579486004984,1.3148547556624375,1.2668994453021065,1.2481638725536062,1.2318523295477433,1.4031244291532972,1.3902715791084148,1.5357391220276428,1.3764557253018574,1.2927377361234502,1.3006135451512435,1.2546436672229861,1.265149321584819,1.2421772020665334,1.4683887133151907,1.226826458894629,48.813740660751996,1.237739625627877,1.2489965013513353,1.319663676731406,1.2813511375895563,1.3488676944691462,1.2708131112753762,1.2378668419136245,1.307101485959389,1.242668484530362,1.291977438775603,1.3112289069360554,1.2169686800342325,1.2303269333404687,1.2505587644566185,998.6846215058752,1.2772076272216417,1.287009530564434,1.277700067497907,1.1939707303652947,1.2702069443023192,1.2357248422585214,1.2143104465250332,1.261334191772519,1.251525195086435,1.2447708614448292,1.208971815621317,1.2034566516407486,1.252935276683583,1.2472426152343363,1.2048070591118778,1.3207849653396337,42.0,50.0,38.0,83.0,114.0,46.0,103.0,165.0,24.0,67.0,40.0,34.0,61.0,42.0,49.0,42.0,77.0,70.0,70.0,91.0,70.0,36.0,42.0,29.0,36.0,38.0,42.0,68.0,82.0,76.0,47.0,90.0,62.0,68.0,64.0,33.0,50.0,20.0,56.0,68.0,28.0,56.0,50.0,32.0,86.0,82.0,66.0,29.0,39.0,52.0,21.0,51.0,37.0,45.0,62.0,38.0,31.0,31.0,67.0,37.0,37.0,43.0,53.0,70.0,119.0
image11.png,1.3946130884039334,1.2954710670510308,1.2627875385822567,1.3030036588959695,1.2624618146420425,1.294492537702506,1.2284777853743938,1.2228543971403443,1.4140466906770155,1.2729669583557424,1.3647043970152992,1.3078054156010903,1.2541960055009154,1.289725095708389,1.298854687168915,1.28272908623254,1.2693579486004984,1.3148547556624375,1.2668994453021065,1.2481638725536062,1.2318523295477433,1.4031244291532972,1.3902715791084148,1.5357391220276428,1.3764557253018574,1.2927377361234502,1.3006135451512435,1.2546436672229861,1.265149321584819,1.2421772020665334,1.4683887133151907,1.226826458894629,48.813740660751996,1.237739625627877,1.2489965013513353,1.319663676731406,1.2813511375895563,1.3488676944691462,1.2708131112753762,1.2378668419136245,1.307101485959389,1.242668484530362,1.291977438775603,1.3112289069360554,1.2169686800342325,1.2303269333404687,1.2505587644566185,998.6846215058752,1.2772076272216417,1.287009530564434,1.277700067497907,1.1939707303652947,1.2702069443023192,1.2357248422585214,1.2143104465250332,1.261334191772519,1.251525195086435,1.2447708614448292,1.208971815621317,1.2034566516407486,1.252935276683583,1.2472426152343363,1.2048070591118778,1.3207849653396337,42.0,50.0,38.0,83.0,114.0,46.0,103.0,165.0,24.0,67.0,40.0,34.0,61.0,42.0,49.0,42.0,77.0,70.0,70.0,91.0,70.0,36.0,42.0,29.0,36.0,38.0,42.0,68.0,82.0,76.0,47.0,90.0,62.0,68.0,64.0,33.0,50.0,20.0,56.0,68.0,28.0,56.0,50.0,32.0,86.0,82.0,66.0,29.0,39.0,52.0,21.0,51.0,37.0,45.0,62.0,38.0,31.0,31.0,67.0,37.0,37.0,43.0,53.0,70.0,121.0
image12.png,1.3946130884039334,1.2954710670510308,1.2627875385822567,1.3030036588959695,1.2624618146420425,1.294492537702506,1.2284777853743938,1.2228543971403443,1.4140466906770155,1.2729669583557424,1.3647043970152992,1.3078054156010903,1.2541960055009154,1.289725095708389,1.298854687168915,1.28272908623254,1.2693579486004984,1.3148547556624375,1.2668994453021065,1.2481638725536062,1.2318523295477433,1.4031244291532972,1.3902715791084148,1.5357391220276428,1.3764557253018574,1.2927377361234502,1.3006135451512435,1.2546436672229861,1.265149321584819,1.2421772020665334,1.4683887133151907,1.226826458894629,48.813740660751996,1.237739625627877,1.2489965013513353,1.319663676731406,1.2813511375895563,1.3488676944691462,1.2708131112753762,1.2378668419136245,1.307101485959389,1.242668484530362,1.291977438775603,1.3112289069360554,1.2169686800342325,1.2303269333404687,1.2505587644566185,998.6846215058752,1.2772076272216417,1.287009530564434,1.277700067497907,1.1939707303652947,1.2702069443023192,1.2357248422585214,1.2143104465250332,1.261334191772519,1.251525195086435,1.2447708614448292,1.208971815621317,1.2034566516407486,1.252935276683583,1.2472426152343363,1.2048070591118778,1.3207849653396337,42.0,50.0,38.0,83.0,114.0,46.0,103.0,165.0,24.0,67.0,40.0,34.0,61.0,42.0,49.0,42.0,77.0,70.0,70.0,91.0,70.0,36.0,42.0,29.0,36.0,38.0,42.0,68.0,82.0,76.0,47.0,90.0,62.0,68.0,64.0,33.0,50.0,20.0,56.0,68.0,28.0,56.0,50.0,32.0,86.0,82.0,66.0,29.0,39.0,52.0,21.0,51.0,37.0,45.0,62.0,38.0,31.0,31.0,67.0,37.0,37.0,43.0,53.0,70.0,122.0
